original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Johnson (Stanley C.)-The Stamp collector : a guide to the world's postage stamps. New ed. Cr. 8vo. 74 × 5, pp. 317, 6s. net H. JENKINS, Nov. '19",127,139,,Johnson (Stanley C.),The Stamp collector : a guide to the world's postage stamps. New ed.,Cr. 8vo.,"74 × 5, pp. 317, 6s. net",H. JENKINS,Nov. '19
"Johnson (V. E.) and others. The Handy boy's book. Illus, 8vo. 81×6, pp. 396, 6s. net WARD, LOCK, July '19",127,139,,Johnson (V. E.) and others.,"The Handy boy's book. Illus,",8vo.,"81×6, pp. 396, 6s. net","WARD, LOCK",July '19
"Johnston (M. A. B., Capt.) and Yearsley (K. D., Capt.)-450 miles to freedom. Cr. 8vo. 7×5, pp. 295, 7s. 6d. net......BLACKWOOD, June '19",127,139,,"Johnston (M. A. B., Capt.) and Yearsley (K. D., Capt.)",450 miles to freedom.,Cr. 8vo.,"7×5, pp. 295, 7s. 6d. net......",BLACKWOOD,June '19
"Johnston (Mary)-The Laird of Glenfernie. Cr. 8vo. 7X5, pp. 317, 6s. net CONSTABLE, Aug. '19",127,139,,Johnston (Mary),The Laird of Glenfernie.,Cr. 8vo.,"7X5, pp. 317, 6s. net",CONSTABLE,Aug. '19
"Johnston (R. F.)--Letters to a missionary. 8vo. 7×5, pp. 184, 4s. 6d. net WATTS, May '19",127,139,,Johnston (R. F.),Letters to a missionary.,8vo.,"7×5, pp. 184, 4s. 6d. net",WATTS,May '19
"Johnston (Sir Harry H.)-A Comparative study of the Bantu and Semi-Bantu languages. Ryl. 8vo. 10×72, pp. 815, 63s. net (Oxford Univ. Pr.) MILFORD July '19",127,139,,Johnston (Sir Harry H.),A Comparative study of the Bantu and Semi-Bantu languages.,Ryl. 8vo.,"10×72, pp. 815, 63s. net",(Oxford Univ. Pr.) MILFORD,July '19
"Johnston (Sir Harry)-Pioneers in India. Cr. 8vo. 7×5, pp. 320, 3s. 6d. net.. BLACKIE, Nov. '19",127,139,,Johnston (Sir Harry),Pioneers in India.,Cr. 8vo.,"7×5, pp. 320, 3s. 6d. net..",BLACKIE,Nov. '19
"Johnston (Sir Harry)-The Gay-Dombeys: a novel. Pref. by H. G. Wells. Cr. 8vo. 7×5, CHATTO & W., Apr. '19",127,139,,Johnston (Sir Harry),The Gay-Dombeys: a novel. Pref. by H. G. Wells.,Cr. 8vo.,"7×5,",CHATTO & W.,Apr. '19
"Johnston (T. B.)-Industrial peace: capital, labour and consumer, a basis of co-operation. 8vo. 8×5, pp. 21, swd. 6d. net ARROWSMITH, Dec. '19",128,140,,Johnston (T. B.),"Industrial peace: capital, labour and consumer, a basis of co-operation.",8vo.,"8×5, pp. 21, swd. 6d. net",ARROWSMITH,Dec. '19
"Johnston (W. and A. K.)-Modern atlas of com- merce. Ryl. 8vo. 9×71, pp. 48, with index 2s. net, without, swd. Is. 1od. net ........ JOHNSTON; MACMILLAN, Nov. '19",128,140,,Johnston (W. and A. K.),Modern atlas of com- merce.,Ryl. 8vo.,"9×71, pp. 48, with index 2s. net, without, swd. Is. 1od. net",JOHNSTON; MACMILLAN,Nov. '19
"Johnston (William)-"" Limpy"": the story of the boy who felt neglected. Cr. 8vo. 7X5, pp. 234, 6s. net .JARROLDS, Aug. '19",128,140,,Johnston (William),""" Limpy"": the story of the boy who felt neglected.",Cr. 8vo.,"7X5, pp. 234, 6s. net .",JARROLDS,Aug. '19
"Johnston's Cycling and automobile map of en- virons of London. 18mo., on cloth in case IS. 6d. ; on cloth cut to fold in transparent case, 2s. 6d. ... .W. & A. K. JOHNSTON, July '19",128,140,,,Johnston's Cycling and automobile map of en- virons of London.,18mo.,"on cloth in case IS. 6d. ; on cloth cut to fold in transparent case, 2s. 6d. ... .",W. & A. K. JOHNSTON,July '19
"Johnston's Cycling and automobile map of London and the East; London and the North; London and the South; London and the West. (4 maps.) 18mo. on cloth in case, ea. Is. 6d. ; on cloth in patent transparent case, ea, 2s. 6d. W. & A. K. JOHNSTON, July '19",128,140,,,Johnston's Cycling and automobile map of London and the East; London and the North; London and the South; London and the West. (4 maps.),18mo.,"on cloth in case, ea. Is. 6d. ; on cloth in patent transparent case, ea, 2s. 6d.",W. & A. K. JOHNSTON,July '19
"Johnstone (G. Murray) (""Mome "")-The Aven- gers, and other poems from South Africa. Cr. 8vo. 7×51, pp. 78, 3s. 6d. net E. MACDONALD, Feb. '19",128,140,,"Johnstone (G. Murray) (""Mome "")","The Aven- gers, and other poems from South Africa.",Cr. 8vo.,"7×51, pp. 78, 3s. 6d. net",E. MACDONALD,Feb. '19
"Joiliffe (Percival)-Andrew Hunter Dunn, fifth Bishop of Quebec : a memoir. Forew. by Rt. Rev. J. Macarthur, Illus. 8vo. 8×51, pp. 216, 7s. 6d. net..... ..S.P.C.K., Dec. '19",128,140,,Joiliffe (Percival),"Andrew Hunter Dunn, fifth Bishop of Quebec : a memoir. Forew. by Rt. Rev. J. Macarthur, Illus.",8vo.,"8×51, pp. 216, 7s. 6d. net.....",S.P.C.K.,Dec. '19
"Jonas Rowbottom's cow-cake, the latest laugh; a red tape skit. Fol. 13×81, swd. is. 3d. .JARROLDS, Jan. '19",128,140,,,"Jonas Rowbottom's cow-cake, the latest laugh; a red tape skit.",Fol.,"13×81, swd. is. 3d. .",JARROLDS,Jan. '19
"Jones (C. Sheridan)-The Truth about the Black Book. Cr. 8vo. 7×5, pp. 185, 5s. net S. PAUL, June '19",128,140,,Jones (C. Sheridan),The Truth about the Black Book.,Cr. 8vo.,"7×5, pp. 185, 5s. net",S. PAUL,June '19
"Jones (D. Ambrose, Rev.)-Philosophic thought and religion. Cr. 8vo. 7×41, pp. 60, 2s. net S.P.C.K., June '19",128,140,,"Jones (D. Ambrose, Rev.)",Philosophic thought and religion.,Cr. 8vo.,"7×41, pp. 60, 2s. net",S.P.C.K.,June '19
"Jones (D. M.)-Charles Wesley: a study. Cr. 8vo. 7×5, pp. 284, 7s. 6d. net SKEFFINGTON, Sep.'19",128,140,,Jones (D. M.),Charles Wesley: a study.,Cr. 8vo.,"7×5, pp. 284, 7s. 6d. net",SKEFFINGTON,Sep.'19
"Jones (Daniel)-Examination papers in phonetics. Cr. 8vo. 7X5, pp. 52, 2s. 6d. net (Clarendon Pr.) MILFORD, Mar. '19",128,140,,Jones (Daniel),Examination papers in phonetics.,Cr. 8vo.,"7X5, pp. 52, 2s. 6d. net (Clarendon Pr.)",MILFORD,Mar. '19
"Jones (E. H., Lt.)-The Road to En-Dor: an account of how two prisoners of war at Yozgad in Turkey won their way to freedom. Illus. by C. W. Hill. Cr. 8vo. 8 × 5, pp. 342, s. 6d. net LANE, Dec. '19",128,140,,"Jones (E. H., Lt.)",The Road to En-Dor: an account of how two prisoners of war at Yozgad in Turkey won their way to freedom. Illus. by C. W. Hill.,Cr. 8vo.,"8 × 5, pp. 342, s. 6d. net",LANE,Dec. '19
"Jones (Henry Arthur)-Patriotism and popular education in the form of a letter addressed to the Rt. Hon. H. A. L. Fisher. 8vo. 8×5, pp. 286, 3s. 6d. net CHAPMAN, Apr. '19",128,140,,Jones (Henry Arthur),Patriotism and popular education in the form of a letter addressed to the Rt. Hon. H. A. L. Fisher.,8vo.,"8×5, pp. 286, 3s. 6d. net",CHAPMAN,Apr. '19
"Jones (Henry Arthur)-The Lie: a play in four acts. Cr. 8vo. 7×5, pp. 110, 2s. 6d. net CHAPMAN & H., Apr. '19",128,140,,Jones (Henry Arthur),The Lie: a play in four acts.,Cr. 8vo.,"7×5, pp. 110, 2s. 6d. net",CHAPMAN & H.,Apr. '19
"Jones (Henry Festing)-Samuel Butler, author of Erewhon, 1835-1902: a memoir. 2 vols. 8vo. 9×51, pp. 478; 541. 425. net MACMILLAN, Oct. '19",128,140,,Jones (Henry Festing),"Samuel Butler, author of Erewhon, 1835-1902: a memoir. 2 vols.",8vo.,"9×51, pp. 478; 541. 425. net",MACMILLAN,Oct. '19
"Jones (Henry, Sir)-The Idealism of Jesus. Cr. 8vo. swd. Is. net .LINDSAY PR., Dec. '19",128,140,,"Jones (Henry, Sir)",The Idealism of Jesus.,Cr. 8vo.,swd. Is. net .,LINDSAY PR.,Dec. '19
"Jones (Henry, Sir)-The Principles of citizenship. Cr. 8vo. 7 X5, pp. 183, 3s. 6d. net ..... MACMILLAN, Apr. '19",128,140,,"Jones (Henry, Sir)",The Principles of citizenship.,Cr. 8vo.,"7 X5, pp. 183, 3s. 6d. net .....",MACMILLAN,Apr. '19
"Jones (J. D., Rev.)-The Gospel according to St. Mark, x. 32-xiii. 37: a devotional com- mentary. Cr. 8vo. 7×51, pp. 221, 3s. net R.T.S., May '19",128,140,,"Jones (J. D., Rev.)","The Gospel according to St. Mark, x. 32-xiii. 37: a devotional com- mentary.",Cr. 8vo.,"7×51, pp. 221, 3s. net",R.T.S.,May '19
"Jones (J. D., Rev.)-The Lord of life and death. Cr. 8vo. 7X5, pp. 316, 6s. net HODDER & S., Nov. '19",128,140,,"Jones (J. D., Rev.)",The Lord of life and death.,Cr. 8vo.,"7X5, pp. 316, 6s. net",HODDER & S.,Nov. '19
"Jones (Rufus M.)-Studies in mystical religion. Repr. 8vo. 8 × 51, pp. 550, 12s. net .... ...... MACMILLAN, Oct. '19",128,140,,Jones (Rufus M.),Studies in mystical religion. Repr.,8vo.,"8 × 51, pp. 550, 12s. net .... ...... ",MACMILLAN,Oct. '19
"Jones (Spencer)-The Counter reformation in the Church of England. Cr. 8vo. 7×5, pp. 133, 2s. 6d. net SKEFFINGTON, Oct. '19",128,140,,Jones (Spencer),The Counter reformation in the Church of England.,Cr. 8vo.,"7×5, pp. 133, 2s. 6d. net",SKEFFINGTON,Oct. '19
"Jones (W. Tudor)-The Spiritual ascent of man. Intro. by A. L. Smith. Cr. 8vo. swd. 7×41, pp. 238, 2s. 6d. net ..HODDER & S., May '19",128,140,,Jones (W. Tudor),The Spiritual ascent of man. Intro. by A. L. Smith.,Cr. 8vo.,"swd. 7×41, pp. 238, 2s. 6d. net",HODDER & S.,May '19
"Jones (W. Tudor)-The Training of mind and will. Foreward by Alex. Hill. Cr. 8vo. 7×5, pp. 70, 2s. 6d. net WILLIAMS & N., Dec. '19",128,140,,Jones (W. Tudor),The Training of mind and will. Foreward by Alex. Hill.,Cr. 8vo.,"7×5, pp. 70, 2s. 6d. net",WILLIAMS & N.,Dec. '19
"Jonescu (Take)-Some personal impressions. Intro. by Viscount Bryce. 8vo. 8×51, pp. 264, 9s. net ....NISBET, Dec. '19",128,140,,Jonescu (Take),Some personal impressions. Intro. by Viscount Bryce.,8vo.,"8×51, pp. 264, 9s. net ....",NISBET,Dec. '19
"Jonson (Ben)-Every man in his humour. Ed. by Percy Simpson. Cr. 8vo. 7×51, pp. 239, 6s. .O.U.P., Oct. '19",128,140,,Jonson (Ben),Every man in his humour. Ed. by Percy Simpson.,Cr. 8vo.,"7×51, pp. 239, 6s. .",O.U.P.,Oct. '19
"Jordan (Charles H.)-Tabulated weights of angle, tee, and bulb iron and steel. 7th ed., rev. and enl. 16mo. pp. 742, 21s. net SPON, Dec. '18",128,140,,Jordan (Charles H.),"Tabulated weights of angle, tee, and bulb iron and steel. 7th ed., rev. and enl.",16mo.,"pp. 742, 21s. net",SPON,Dec. '18
"Jordan (Charles K.)-The Government War loans : a reference book. 8vo. pp. 65, 5s. “FINANCIER,"" July '19",128,140,,Jordan (Charles K.),The Government War loans : a reference book.,8vo.,"pp. 65, 5s.","“FINANCIER,""",July '19
"Jordan (Herbert W.) and Borrie (Stanley)-The Secretary and his directors. 4th ed. 8vo. 8×51, pp. 172, 2s. 6d. net JORDAN, Dec. '19",128,140,,Jordan (Herbert W.) and Borrie (Stanley),The Secretary and his directors. 4th ed.,8vo.,"8×51, pp. 172, 2s. 6d. net",JORDAN,Dec. '19
"Jordan (Herbert W.)-Debentures and other 8×51, pp. 70, Is. net JORDAN, Dec. 18",128,140,,Jordan (Herbert W.),Debentures and other,,"8×51, pp. 70, Is. net",JORDAN,Dec. 18
"Jordan (Louis H.) ed.-The Pastor's diary and clerical record: non-denominational. Rev. 6 × 41, pp. 216, 2s. 6d. net (Edinburgh), W. F. HENDERSON, Jan. '19",128,140,,Jordan (Louis H.) ed.,The Pastor's diary and clerical record: non-denominational. Rev.,,"6 × 41, pp. 216, 2s. 6d. net (Edinburgh)",W. F. HENDERSON,Jan. '19
"Jordan (William Leighton)-On payment of the National Dept: four letters to a statesman. 4th ed. 8vo. pp. 22, swd. 9d. net  SIMPKIN, Oct. '19",128,140,,Jordan (William Leighton),On payment of the National Dept: four letters to a statesman. 4th ed.,8vo.,"pp. 22, swd. 9d. net",SIMPKIN,Oct. '19
"Josephine's Book. Illus. by H. C. Appleton. Ed. de luxe. IOS. 6d. net (Colour Books) BLACKIE, July '19",128,140,,,Josephine's Book. Illus. by H. C. Appleton. Ed. de luxe.,,IOS. 6d. net (Colour Books),BLACKIE,July '19
"Josephus-Selections. Trans. by H. St. J. Thackeray. Cr. 8vo. 7×5, pp. 213, 5s. net (Trans. of early documents.) S.P.C.K., Oct. '19",128,140,,,Josephus-Selections. Trans. by H. St. J. Thackeray.,Cr. 8vo.,"7×5, pp. 213, 5s. net (Trans. of early documents.)",S.P.C.K.,Oct. '19
"Jowett (Rev. J. H.) The Redeemed family of God. (Formerly published as ""The Epistle of St. Peter."") Cr. 8vo. 7× 5, pp. 352, 6s. net HODDER & S., June '19",128,140,,Jowett (Rev. J. H.),"The Redeemed family of God. (Formerly published as ""The Epistle of St. Peter."")",Cr. 8vo.,"7× 5, pp. 352, 6s. net",HODDER & S.,June '19
"Judd (Alfred)-The Boys of Gunn Island: a school story of plot, fun and adventure. Cr. 8vo. 7×5, pp. 280, 5s. net CASSELL, Oct. '19",128,140,,Judd (Alfred),"The Boys of Gunn Island: a school story of plot, fun and adventure.",Cr. 8vo.,"7×5, pp. 280, 5s. net",CASSELL,Oct. '19
"Judge (Arthur W.)-Elementary principles of aeroplane design and construction: a textbook for students, draughtsmen, and engineers. 8vo. 8×51, pp. 124, 7s. 6d. net J. SELWYN, Sep. '19",129,141,,Judge (Arthur W.),"Elementary principles of aeroplane design and construction: a textbook for students, draughtsmen, and engineers.",8vo.,"8×51, pp. 124, 7s. 6d. net",J. SELWYN,Sep. '19
"Judge (Arthur W.)-Handbook of modern aero- nautics. Cr. 8vo. 7×5, pp. 1028, 30s. net LIBRARY PR., Oct. '19",129,141,,Judge (Arthur W.),Handbook of modern aero- nautics.,Cr. 8vo.,"7×5, pp. 1028, 30s. net",LIBRARY PR.,Oct. '19
"Judicial Statistics (England and Wales), 1917- Pt. 1, Criminal statistics: statistics relating to criminal proceedings, police, prisons and reformatory and industrial schools, 3d.; Pt. 2, Civil judicial statistics relating to the Judicial Committee of the Privy Council, the House of Lords, the Supreme Court of Judicature, County Courts and other civil courts, 6d. H.M. STATIONERY OFF., July, Aug. '19",129,141,,,"Judicial Statistics (England and Wales), 1917- Pt. 1, Criminal statistics: statistics relating to criminal proceedings, police, prisons and reformatory and industrial schools, 3d.; Pt. 2, Civil judicial statistics relating to the Judicial Committee of the Privy Council, the House of Lords, the Supreme Court of Judicature, County Courts and other civil courts, 6d.",,,H.M. STATIONERY OFF.,"July, Aug. '19"
"Judicial statistics (Ireland), 1917. Pt. 1, Criminal statistics; p. 2, Civil statistics. IS. 5S. H.M. STATIONERY OFF., Apr. '19",129,141,,,"Judicial statistics (Ireland), 1917. Pt. 1, Criminal statistics; p. 2, Civil statistics.",,IS. 5S.,H.M. STATIONERY OFF.,Apr. '19
"Judicial statistics, Scotland, 1917. H.M. STATIONERY OFF., Feb. '19",129,141,,,"Judicial statistics, Scotland, 1917.",,,H.M. STATIONERY OFF.,Feb. '19
"Jumbo’s fun book. Illus. by Harry B. Neilson. Ryl. 8vo. 10 × 8, 2s. net BLACKIE, July, Sep. '19",129,141,,,Jumbo’s fun book. Illus. by Harry B. Neilson.,Ryl. 8vo.,"10 × 8, 2s. net",BLACKIE,"July, Sep. '19"
"Jupp (William J.)-Worlds not realised: a study of the human personality in the light (or shadow) of its unfulfilled possibilities. Cr. 8vo. 7×5, pp. 94, 2s. 6d. net; bds. 2s. net HEADLEY, May '19",129,141,,Jupp (William J.),Worlds not realised: a study of the human personality in the light (or shadow) of its unfulfilled possibilities.,Cr. 8vo.,"7×5, pp. 94, 2s. 6d. net; bds. 2s. net",HEADLEY,May '19
