original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date,catalogue_year,flagged
"Little books of world history. Bks. 1-4. Cr. 8vo. 6d. ...MCDOUGALL's, July 15",162,170,,,Little books of world history. Bks. 1-4.,Cr. 8vo.,6d. ...,MCDOUGALL's,July 15,1915,False
"Little Folks, 1915. 4to. 101 X7, pp. 482, 5s. CASSELL, Oct. 15",162,170,,,"Little Folks, 1915.",4to.,"101 X7, pp. 482, 5s.",CASSELL,Oct. 15,1915,False
"Little Folks. Vol. 81, Jan.-June, 1915. 4to. 5s. bds. 3s, 6d. CASSELL, July 15",162,170,,,"Little Folks. Vol. 81, Jan.-June, 1915.",4to.,"5s. bds. 3s, 6d.",CASSELL,July 15,1915,False
"Little office of the Blessed Virgin Mary, conform- able to recent Pontifical Decrees : fully ex- plained and annotated. By a master of novices. 6X31, pp. 375, 25. 6d net WASHBOURNE, Feb 15",162,170,,,"Little office of the Blessed Virgin Mary, conform- able to recent Pontifical Decrees : fully ex- plained and annotated. By a master of novices.",,"6X31, pp. 375, 25. 6d net",WASHBOURNE,Feb 15,1915,False
"Little people, Elkin (R. H.) Illus. by Le Mair. 3s. 6d. net Little poems. 7X4], pp. 32, 6d. net STOCKWELL, June 15",162,170,,Elkin (R. H.),"Little people, Illus. by Le Mair. 3s. 6d. net Little poems.",,"7X4], pp. 32, 6d. net",STOCKWELL,June 15,1915,False
"Little travellers abroad. Cr. 8vo. 71 X 4*, pp. 112, rod. .OLIVER & B., Nov. 15",162,170,,,Little travellers abroad.,Cr. 8vo.,"71 X 4*, pp. 112, rod. .",OLIVER & B.,Nov. 15,1915,False
"Little treasury of leaflets (The) India paper edit. Vols 1, 2, 3, and 4, 5, 6. 32ino. 4 X2), pp. 860, 936, paste grain, ea. 75. 6d. M. H. GILL, Jan. 15",162,170,,,"Little treasury of leaflets (The) India paper edit. Vols 1, 2, 3, and 4, 5, 6.",32ino.,"4 X2), pp. 860, 936, paste grain, ea. 75. 6d.",M. H. GILL,Jan. 15,1915,False
"Little treasury of leaflets (The). India paper edit. 6 vols. in 1. 32m10. 4 X2), pp. 1,796, pastegrain, M. H. GILL, Jan, 15",162,170,,,Little treasury of leaflets (The). India paper edit. 6 vols. in 1.,32m10.,"4 X2), pp. 1,796, pastegrain,",M. H. GILL,"Jan, 15",1915,False
"Little wood (S. R.)-The Child of the sea. Illus. by Honor C. Appleton 8vo. 81 x 61, pp. 106, .SIMPKIN, Oct. 15",162,170,,Little wood (S. R.),The Child of the sea. Illus. by Honor C. Appleton,8vo.,"81 x 61, pp. 106,",.SIMPKIN,Oct. 15,1915,False
"Littlefair (Mary)-An English girl's adventures in hostile Germany. Cr. 8vo. 71 X 5, pp. 128, IS. net. ...LONG, Oct, 15",162,170,,Littlefair (Mary),An English girl's adventures in hostile Germany.,Cr. 8vo.,"71 X 5, pp. 128, IS. net. ...",LONG,"Oct, 15",1915,False
"Live Stock Journal Almanac for 1916. Illus. Ryl. Svo., pp. 256, 25.; swd. is. VINTON, Dec. 15",162,170,,,Live Stock Journal Almanac for 1916. Illus.,Ryl. Svo.,"pp. 256, 25.; swd. is.",VINTON,Dec. 15,1915,False
"Liveing (G. D.) and Dewar (J.)--Collected papers on spectroscopy. 4to., 30s. net CAMB. UNIV. PR., Nov. 15",162,170,,Liveing (G. D.) and Dewar (J.),Collected papers on spectroscopy.,4to.,30s. net,CAMB. UNIV. PR.,Nov. 15,1915,False
"Liverpool Diocesan calendar and churchman's year book, 1915. Cr. 8vo. 2s. net ; swd. is, net J. A. THOMPSON, Feb. 15",162,170,,,"Liverpool Diocesan calendar and churchman's year book, 1915.",Cr. 8vo.,"2s. net ; swd. is, net",J. A. THOMPSON,Feb. 15,1915,False
"Livingstone (R. W.)-The Greek genius and its meaning to us. 2nd ed. 8vo. 9 X 6, pp. 250, 6s, net ....(Clarendon Pr.) MILFORD, Apr. 15",162,170,,Livingstone (R. W.),The Greek genius and its meaning to us. 2nd ed.,8vo.,"9 X 6, pp. 250, 6s, net ....",(Clarendon Pr.) MILFORD,Apr. 15,1915,False
"Livingstone (W. P.)--Mary Slessor of Calabar, pioneer missionary. 8vo.87 x 51, pp. 360, 35. 6d. net HODDER & S., Dec. 15",162,170,,Livingstone (W. P.),"Mary Slessor of Calabar, pioneer missionary.",8vo.,"87 x 51, pp. 360, 35. 6d. net",HODDER & S.,Dec. 15,1915,False
"Llbert de Flemalle (Gabriel de)—Fighting with King Albert. Cr. 8vo. 8 X 5, pp. 340, 6s. HODDER & S., Mar. 15",160,168,,Llbert de Flemalle (Gabriel de),Fighting with King Albert.,Cr. 8vo.,"8 X 5, pp. 340, 6s.",HODDER & S.,Mar. 15,1915,False
"Llewellyn (L. Jones) and Jones (A. Bassett)- Fibrositis, gouty, infective, traumatic. Ryl. 8vo. 10 X 6, pp. 729, 255. net HEINEMANN, Aug. 15",162,170,,Llewellyn (L. Jones) and Jones (A. Bassett),"Fibrositis, gouty, infective, traumatic.",Ryl. 8vo.,"10 X 6, pp. 729, 255. net",HEINEMANN,Aug. 15,1915,False
"Llliencron—Umzingelt; Der Richtungspunkt : zwei Kriegsnovellen. Fcap. 8vo. 6 X 4, pp. 96. With or without vocabulary, is. 6d. (Oxford Junior German series) (Clarendon Press) MILFORD, Jan. 15",161,169,,,Llliencron—Umzingelt; Der Richtungspunkt : zwei Kriegsnovellen.,Fcap. 8vo.,"6 X 4, pp. 96. With or without vocabulary, is. 6d. (Oxford Junior German series)",(Clarendon Press) MILFORD,Jan. 15,1915,False
"Lloyd (C. M.)—Trade unionism. Cr. 8vo. 71 X 48, pp. 252, 25. 6d. net (Social workers series) BLACK, Jan. 15",162,170,,Lloyd (C. M.),Trade unionism.,Cr. 8vo.,"71 X 48, pp. 252, 25. 6d. net (Social workers series)",BLACK,Jan. 15,1915,False
"Lloyd (E. A. C.)-The Law of the dog : being a complete legal guide for breeders, exhibitors, and all dog owners. Cr. 8vo., pp. 50, swd. is. SPRATT'S PATENT, Aug. 15",162,170,,Lloyd (E. A. C.),"The Law of the dog : being a complete legal guide for breeders, exhibitors, and all dog owners.",Cr. 8vo.,"pp. 50, swd. is.",SPRATT'S PATENT,Aug. 15,1915,False
"Lloyd (John W.)-Productive vegetable growing 8vo., 6s. net ......LIPPINCOTT, Miar. 15",162,170,,Lloyd (John W.),Productive vegetable growing,8vo.,"6s. net ......LIPPINCOTT,",,Miar. 15,1915,False
"Lloyd George. See George Lloyd's Register of yachts, 1915. 71 X9, pp. 1,004 ..LLOYD's, June 15",162,170,Lloyd George. See George,,"Lloyd's Register of yachts, 1915.",,"71 X9, pp. 1,004 ..",LLOYD's,June 15,1915,False
"Lo Feuvre (Amy)--Daddy's sword. Cr. 8vo. 7* X 5, pp. 192, 25. net . HODDER & S, May 15",157,165,,Lo Feuvre (Amy),Daddy's sword.,Cr. 8vo.,"7* X 5, pp. 192, 25. net .",HODDER & S,May 15,1915,False
"Lo Gallienne (Richard)—The Silk-hat soldier and other poems. Cr. 8vo., pp. 48, swd., is. net LANE, Jan. 15",157,165,,Lo Gallienne (Richard),The Silk-hat soldier and other poems.,Cr. 8vo.,"pp. 48, swd., is. net",LANE,Jan. 15,1915,False
"Lo Gallienno (Richard)—Vanishing roads and other essays. Cr. 8vo. 71 x 5, pp. 388, 6s. net PUTNAM, June 15",157,165,,Lo Gallienno (Richard),Vanishing roads and other essays.,Cr. 8vo.,"71 x 5, pp. 388, 6s. net",PUTNAM,June 15,1915,False
"Lo Queux (William) —The Mystery of the green ray. Cr. 8vo. 74 x 5, pp. 252, 25. net HODDER & S., July 15",159,167,,Le Queux (William),The Mystery of the green ray.,Cr. 8vo.,"74 x 5, pp. 252, 25. net",HODDER & S.,July 15,1915,False
"Lo Queux (William)-- The Mystery of a motor car. 12mo. 7d. net ....HODDER & S., May 15",159,167,,Lo Queux (William),The Mystery of a motor car.,12mo.,7d. net ....,HODDER & S.,May 15,1915,False
"Lo Queux (William)-Britain's deadly peril : are we told the truth? Cr. 8vo. 7} x 5, pp. 176, 25. net; swd. Is. net ...S. PAUL, Apr. 15",158,166,,Lo Queux (William),Britain's deadly peril : are we told the truth?,Cr. 8vo.,"7} x 5, pp. 176, 25. net; swd. Is. net ...",S. PAUL,Apr. 15,1915,False
"Lo Queux (William)-Lying lips. 8vo. swd. 6d. PEARSON, Apr. 15",158,166,,Lo Queux (William),Lying lips.,8vo. swd.,6d.,PEARSON,Apr. 15,1915,False
"Lo Queux (William)-Mysteries. Fcap 4to. swd. 6d. ... WARD, L., July 15",158,166,,Lo Queux (William),Mysteries.,Fcap 4to.,swd. 6d. ...,"WARD, L.",July 15,1915,False
"Lo Queux (William)-The Bond of black. Pop. ed. 18mo., pp. 252, 7d. net WARD, L., Aug. 15",158,166,,Lo Queux (William),The Bond of black. Pop. ed.,18mo.,"pp. 252, 7d. net","WARD, L.",Aug. 15,1915,False
"Lo Queux (William)-The German spy. 8vo., swd., 60. .NEWNES, May 15",158,166,,Le Queux (William),The German spy.,"8vo.,","swd., 60. .",NEWNES,May 15,1915,False
"Lo Queux (William)-The Room of secrets. Pop. ed. Cr. 8vo. 7X 4), pp. 318, is. net WARD, L., Aug. 15",159,167,,Lo Queux (William),The Room of secrets. Pop. ed.,Cr. 8vo.,"7X 4), pp. 318, is. net","WARD, L.",Aug. 15,1915,False
"Lo Queux (William)— The Maker of secrets. Cr. 8vo. 73 x 5, pp. 320, 28. net WARD, L., July 15",158,166,,Lo Queux (William),The Maker of secrets.,Cr. 8vo.,"73 x 5, pp. 320, 28. net","WARD, L.",July 15,1915,False
"Lo Queux (William)—The Count's chauffeur. 18mo., pp. 248, 7d. net ..METHUEN, Aug. 15",158,166,,Lo Queux (William),The Count's chauffeur.,18mo.,"pp. 248, 7d. net ..",METHUEN,Aug. 15,1915,False
"Lo Queux (William)—The Lost million. Cheap ed. 18mo., pp. 258, 7d, net NEWNES, Sep. 15",158,166,,Lo Queux (William),The Lost million. Cheap ed.,18mo.,"pp. 258, 7d, net",NEWNES,Sep. 15,1915,False
"Lo Quoux (William)-Hushed up: a mystery of London. Fcap. 8vo., pp. 258, 7d. net NEWNES, July 15",158,166,,Lo Quoux (William),Hushed up: a mystery of London.,Fcap. 8vo.,"pp. 258, 7d. net",NEWNES,July 15,1915,False
"Lo Quoux (William)-Spies of the Kaiser. izmo. 7d. net HURST & B., Apr. 15",159,167,,Lo Quoux (William),Spies of the Kaiser.,izmo.,7d. net,HURST & B.,Apr. 15,1915,False
"Lo Quoux (William)—The Lost million. 8vo. swd. 6d. .NEWNES, Feb. 15",158,166,,Lo Quoux (William),The Lost million.,8vo. swd.,6d. .,NEWNES,Feb. 15,1915,False
"Lo Rossignol (J. E.)- Jean Baptiste : a story of French Canada. Cr. 8vo. 77X5, pp. 278, 6s. DENT, Mar. 15",159,167,,Lo Rossignol (J. E.),Jean Baptiste : a story of French Canada.,Cr. 8vo.,"77X5, pp. 278, 6s.",DENT,Mar. 15,1915,False
"Loane (G. G.)--Cæsar's Gallic war : a vocabulary compiled by G. G. L. Cr. 8vo. 71 x 5), pp. 62, IS. od. (Clarendon Pr.) MILFORD, Oct. 15",163,171,,Loane (G. G.),Cæsar's Gallic war : a vocabulary compiled by G. G. L.,Cr. 8vo.,"71 x 5), pp. 62, IS. od. (Clarendon Pr.)",MILFORD,Oct. 15,1915,False
"Loathes (Stanley)- The People in the making. Cr. 8vo. 71x41, pp. 320, 28. 60. (The People of England) ...... HEINEMANN, Apr. 15",156,164,,Loathes (Stanley),The People in the making.,Cr. 8vo.,"71x41, pp. 320, 28. 60. (The People of England) ...... ",HEINEMANN,Apr. 15,1915,False
"Lobban (W.)-Latin verb paradigms : being the complete inflexions of regular Latin verbs arranged in stems, with intro. notes and exercises. 8vo. pp. 32, swd., is. net BLACKWELL, May 15",163,171,,Lobban (W.),"Latin verb paradigms : being the complete inflexions of regular Latin verbs arranged in stems, with intro. notes and exercises.",8vo.,"pp. 32, swd., is. net",BLACKWELL,May 15,1915,False
"Local authorities_Statement showing the amount of the receipts, expenditure, and outstanding loans of the principal classes of local authorities in England and Wales, for 1913-14, 3d. WYMAN, Mar. 15",163,171,,,"Local authorities_Statement showing the amount of the receipts, expenditure, and outstanding loans of the principal classes of local authorities in England and Wales, for 1913-14, 3d.",,,WYMAN,Mar. 15,1915,False
"Local Government Board (Ireland)---43rd Annual report, 1914-15. 2S......... ... WYMAN, Nov. 15",163,171,,,"Local Government Board (Ireland)---43rd Annual report, 1914-15.",,2S......... ...,WYMAN,Nov. 15,1915,False
"Local Government Board (Scotland)-20th Annual report, 1914. 28. 3d. WYMAN, Nov. 15",163,171,,,"Local Government Board (Scotland)-20th Annual report, 1914.",,28. 3d.,WYMAN,Nov. 15,1915,False
"Local Government Board--Inspectors of foods : Report for 1913-14. 20. ....WYMAN, Jan. 15",163,171,,,Local Government Board--Inspectors of foods : Report for 1913-14.,,20. ....,WYMAN,Jan. 15,1915,False
"Local Government Board--Reports. See also under subjects as Scavenging, &c. Local government directory, almanac and guide, 1915. Cr. 8vo. 8s. 6d. net..C. KNIGHT, Jan. 15",163,171,,,"Local Government Board--Reports. See also under subjects as Scavenging, &c. Local government directory, almanac and guide, 1915.",Cr. 8vo.,8s. 6d. net..,C. KNIGHT,Jan. 15,1915,False
"Local Government Board-County boroughs, other boroughs, urban districts other than boroughs, and rural districts, in England and Wales (excluding the Metropolis) on Apr. 1, 1914. .WYMAN, July 15",163,171,,,"Local Government Board-County boroughs, other boroughs, urban districts other than boroughs, and rural districts, in England and Wales (excluding the Metropolis) on Apr. 1, 1914.",,,.WYMAN,July 15,1915,False
"Local Government Board-Memorandum cerebro-spinal fever, Feb. 1915, id. WYMAN, Mar. 15",163,171,,,"Local Government Board-Memorandum cerebro-spinal fever, Feb. 1915, id.",,,WYMAN,Mar. 15,1915,False
"Local Government Board-Model byelaws. 6, Slaughter houses, 2d....... WYMAN, Feb. 15",163,171,,,"Local Government Board-Model byelaws. 6, Slaughter houses, 2d.......",,,WYMAN,Feb. 15,1915,False
"Local Government Board-Report on the special work of the L.G.B. arising out of the War (to 31st Dec., 1914). With appendix. 4fd. WYMAN, Jan. 15",163,171,,,"Local Government Board-Report on the special work of the L.G.B. arising out of the War (to 31st Dec., 1914). With appendix.",,4fd.,WYMAN,Jan. 15,1915,False
"Local Government Board-Reports of Food Inspectors. 21, Effects of certain condensing and drying processes used in the preservation of milk upon its bacterial contents, 6d. WYMAN, Feb. 15",163,171,,,"Local Government Board-Reports of Food Inspectors. 21, Effects of certain condensing and drying processes used in the preservation of milk upon its bacterial contents, 6d.",,,WYMAN,Feb. 15,1915,False
"Local Government Board-Reports of Fooris Inspectors : 22, Freezing point of milk con- sidered in its relation to the detection of added water, 4d....... ... WYMAN, Mar. 15",163,171,,,"Local Government Board-Reports of Fooris Inspectors : 22, Freezing point of milk con- sidered in its relation to the detection of added water, 4d.",,,WYMAN,Mar. 15,1915,False
"Local Government Board-Reports on public health and medical subjects (New ser.): 107, Preliminary report on the pathology of bovine actinomycosis. (Food reports.] 2d. WYMAN, Aug. 15",163,171,,,"Local Government Board-Reports on public health and medical subjects (New ser.): 107, Preliminary report on the pathology of bovine actinomycosis. (Food reports.]",,2d.,WYMAN,Aug. 15,1915,False
"Local Government Board-Reports on public health and medical subjects (New ser.): Flies as carriers of infection, Further rpt. (No. 7) 6d. .WYMAN, Jan. 15",163,171,,,"Local Government Board-Reports on public health and medical subjects (New ser.): Flies as carriers of infection, Further rpt. (No. 7)",,6d. .,WYMAN,Jan. 15,1915,False
"Local Government Board-Reports on public health and medical subjects (New ser) : 104. Plague, cholera and yellow fever, Progress and diffusion of, throughout the world during 1913, IS.; 105, Prevalence of congenital syphilis among the newly-born of the East End of London, 2d.; 106, Notifiable infectious diseases, Statistics of the incidence of, in each sanitary district in England and Wales; and Preliminary statement as to small-pox abroad during 1914 (4th yr.). ed. ... WYMAN, June 15",163,171,,,"Local Government Board-Reports on public health and medical subjects (New ser) : 104. Plague, cholera and yellow fever, Progress and diffusion of, throughout the world during 1913, IS.; 105, Prevalence of congenital syphilis among the newly-born of the East End of London, 2d.; 106, Notifiable infectious diseases, Statistics of the incidence of, in each sanitary district in England and Wales; and Preliminary statement as to small-pox abroad during 1914 (4th yr.). ed. ...",,,WYMAN,June 15,1915,False
"Local Government Board-Sanatoria and other residential institutions approved by the L.G.B., for persons resident in England (excluding Monmouthshire), with the names of the administrative counties and county boroughs in which the institutions are situate, and the date on which the approval expires in each case, List of, Feb. 1915, id. WYMAN, Mar. 15",163,171,,,"Local Government Board-Sanatoria and other residential institutions approved by the L.G.B., for persons resident in England (excluding Monmouthshire), with the names of the administrative counties and county boroughs in which the institutions are situate, and the date on which the approval expires in each case, List of, Feb. 1915, id.",,,WYMAN,Mar. 15,1915,False
"Local Government Board-Supp. to 43rd annual rpt., containing Report of the Medical Officer, 1913-14. Illus. 8vo. Is. Id. WYMAN, Jan. 15",163,171,,,"Local Government Board-Supp. to 43rd annual rpt., containing Report of the Medical Officer, 1913-14. Illus.",8vo.,Is. Id.,WYMAN,Jan. 15,1915,False
"Local Government Board—43rd Annual report, 1913-14. Pt. 3, Public health and local ad- ministration ; County Council Administration; Local taxation and valuation. 28. 2d. Local Government Board.-Supp. to the Report of the Medical Officer of the Board, for 1914-15 : Maternal mortality in connection with child- bearing and its relation to infant mortality, 7]d. . WYMAN, Oct 15",163,171,,,"Local Government Board—43rd Annual report, 1913-14. Pt. 3, Public health and local ad- ministration ; County Council Administration; Local taxation and valuation. 28. 2d. Local Government Board.-Supp. to the Report of the Medical Officer of the Board, for 1914-15 : Maternal mortality in connection with child- bearing and its relation to infant mortality, 7]d.",,,. WYMAN,Oct 15,1915,False
"Local government, 1914-15, 225. 6d. net BUTTERWORTH, Dec. 15",163,171,,,"Local government, 1914-15,",,225. 6d. net,BUTTERWORTH,Dec. 15,1915,False
"Local Legislation (Select Com. on)-Special WYMAN, May 15",163,171,,,Local Legislation (Select Com. on)-Special,,,WYMAN,May 15,1915,False
"Local Loans Funds-Accounts, 1913-14. 3d. WYMAN, Feb. 15",163,171,,,"Local Loans Funds-Accounts, 1913-14.",,3d.,WYMAN,Feb. 15,1915,False
"Locke (W. J.)--Morals for the young. By “ Marcus.” 25. net Lock wood's Builder's and contractor's price book, 1915. Cr. 8vo. 45. ....C. LOCKWOOD, Jan. 15",163,171,,,,,,,,1915,False
"Locke (W. J.)-Simon the Jester. Pop. edit. Cr. 8vo., pp. 350, is. net.. .LANE, Mar. 15",163,171,,Locke (W. J.),Simon the Jester. Pop. edit.,Cr. 8vo.,"pp. 350, is. net..",LANE,Mar. 15,1915,False
"Locke (W.J.)-Septimus. Pop. ed. Cr. 8vo., pp. 364, Is. net .J. MURRAY, May 15",163,171,,Locke (W.J.),Septimus. Pop. ed.,Cr. 8vo.,"pp. 364, Is. net .",J. MURRAY,May 15,1915,False
"Locke (William J.)-- Jaffery. Cr. 8vo. 74 x 4, pp. 352, 6s. ..... LANE, June 15",163,171,,Locke (William J.),Jaffery.,Cr. 8vo.,"74 x 4, pp. 352, 6s. .....",LANE,June 15,1915,False
"Locke (William J.)-The Glory of Clementina Wing. Cheap ed. Cr. 8vo. 7 * 5, pp. 379, Is. net LANE., Aug. 15",163,171,,Locke (William J.),The Glory of Clementina Wing. Cheap ed.,Cr. 8vo.,"7 * 5, pp. 379, Is. net",LANE.,Aug. 15,1915,False
"Locomotive of to-day (The). New ed. 28. 6d. net ......LOCOMOTIVE PUB. Co., Dec. 15",163,171,,,Locomotive of to-day (The). New ed.,,"28. 6d. net ......LOCOMOTIVE PUB. Co.,",,Dec. 15,1915,False
"Lodge (Oliver W. F.)--Poems. 8vo. 9 x 54, pp. 210, 3s. 6d. net .CORNISH BROS., Aug. 15",163,171,,Lodge (Oliver W. F.),Poems.,8vo.,"9 x 54, pp. 210, 3s. 6d. net .",CORNISH BROS.,Aug. 15,1915,False
"Lodge (Oliver W. F.)-Six Englishmen. 8vo., pp. 24, swd. 6d. net .... Cornish BROS., July 15",163,171,,Lodge (Oliver W. F.),Six Englishmen.,8vo.,"pp. 24, swd. 6d. net ....",Cornish BROS.,July 15,1915,False
"Lodge (Sir Oliver)-The Substance of faith allied with science : a catechism for parents and teachers. New ed. 18mo. 63 X 41, pp. 148, .HARRAP, Nov. 15",163,171,,Lodge (Sir Oliver),The Substance of faith allied with science : a catechism for parents and teachers. New ed.,18mo.,"63 X 41, pp. 148, .",HARRAP,Nov. 15,1915,False
"Lodge (Sir Oliver)— The Substance of faith allied with science : a catechism for parents and teachers. Popular edit. 12mo., pp. 148, is. net METHUEN, Jan. 15",163,171,,Lodge (Sir Oliver),The Substance of faith allied with science : a catechism for parents and teachers. Popular edit.,12mo.,"pp. 148, is. net",METHUEN,Jan. 15,1915,False
"Lodge (Sir Oliver)—The War and after. 18mo. 61 x 41, pp. 244, paper bds. is. net METHUEN, Aug. 15",163,171,,Lodge (Sir Oliver),The War and after.,18mo.,"61 x 41, pp. 244, paper bds. is. net",METHUEN,Aug. 15,1915,False
"Loes (Harrington C.)--The Practice of the love of Christ : daily devotional studies for a month in i Corinthians, xiii. Cr. 8vo. 71 X 5, pp. 212, 35. 60. net R. SCOTT, Oct. 15",157,165,,Loes (Harrington C.),"The Practice of the love of Christ : daily devotional studies for a month in i Corinthians, xiii.",Cr. 8vo.,"71 X 5, pp. 212, 35. 60. net",R. SCOTT,Oct. 15,1915,False
"Loewe (Herbert)—The Orthodox position. 8vo. swd. 4d. net. (Essays on problems in Jewish orthodoxy) .W. HEFFER, Feb. 15",163,171,,Loewe (Herbert),The Orthodox position.,8vo. swd.,4d. net. (Essays on problems in Jewish orthodoxy),.W. HEFFER,Feb. 15,1915,False
"Lofthouse (William F.)-The Making of the Old Testament. Cr. 8vo., pp. 144 is. net KELLY, May 15",163,171,,Lofthouse (William F.),The Making of the Old Testament.,Cr. 8vo.,pp. 144 is. net,KELLY,May 15,1915,False
"Logan (Alexander)-A First book of school gardening. Cr. 8vo., pp. 164, Is. 6d. MACMILLAN, June 15",163,171,,Logan (Alexander),A First book of school gardening.,Cr. 8vo.,"pp. 164, Is. 6d.",MACMILLAN,June 15,1915,False
"Logan (James)--Talks to boys; or, Men in the making. Cr. 8vo. 78 X 5, pp. 156, 25. net R. SCOTT, Oct. 15",164,172,,Logan (James),"Talks to boys; or, Men in the making.",Cr. 8vo.,"78 X 5, pp. 156, 25. net",R. SCOTT,Oct. 15,1915,False
"Logg (J. Wickham)-On the retention of the word obey "" in the marriage service of the Book of Common Prayer. 8vo. 87 x 5, pp. 108, 23. 6d. net. GARDNER, D., June 15",157,165,,Logg (J. Wickham),"On the retention of the word obey "" in the marriage service of the Book of Common Prayer.",8vo.,"87 x 5, pp. 108, 23. 6d. net.","GARDNER, D.",June 15,1915,False
"Logislation (Emergency)-Manual of. Supp. No. 3, to Apr. 30th, 1915, 25. 6d. WYMAN, June 15.",157,165,,,"Logislation (Emergency)-Manual of. Supp. No. 3, to Apr. 30th, 1915,",,25. 6d.,WYMAN,June 15.,1915,False
"Loisy (Alfred)—The War and religion. Trans. by Artlur Galton. Cr. 8vo., pp. 110, swd. is. 6d. net BLACKWELL, Oct. 15",164,172,,Loisy (Alfred),The War and religion. Trans. by Artlur Galton.,Cr. 8vo.,"pp. 110, swd. is. 6d. net",BLACKWELL,Oct. 15,1915,False
"Lollée (Frédéric)—The Romance of a Favourite. Dlus. Reissue. 8vo. 81 x 54, pp. 310, 3s. 6d. net CONSTABLE, Apr. 15",164,172,,Lollée (Frédéric),The Romance of a Favourite. Dlus. Reissue.,8vo.,"81 x 54, pp. 310, 3s. 6d. net",CONSTABLE,Apr. 15,1915,False
"Lomonnier (Camille)—Birds and beasts. Trans. by A. R. Allinson. 12mo., PP. 200, IS. net. (Sesame lib.) ALLEN & U., June 15",158,166,,Lomonnier (Camille),Birds and beasts. Trans. by A. R. Allinson.,12mo.,"PP. 200, IS. net. (Sesame lib.)",ALLEN & U.,June 15,1915,False
"London (Charmian K.) (Mrs. Jack London)- Voyaging in wild seas; or, A Woman among the head hunters : a narrative of the voyage of the “ Suark ""in the years 1907-1909. Cr. 8vo. 8x5), pp. 500, 155. net MILLS & B., Dec. 15",164,172,,London (Charmian K.) (Mrs. Jack London),"Voyaging in wild seas; or, A Woman among the head hunters : a narrative of the voyage of the “ Suark ""in the years 1907-1909.",Cr. 8vo.,"8x5), pp. 500, 155. net",MILLS & B.,Dec. 15,1915,False
"London (Jack) - The Cruise of the Dazzler. Cheap ed. Cr. 8vo. 7 X4, pp. 288, is. net MILLS & B., Nov. 15",164,172,,London (Jack),The Cruise of the Dazzler. Cheap ed.,Cr. 8vo.,"7 X4, pp. 288, is. net",MILLS & B.,Nov. 15,1915,False
"London (Jack) -- The Cruise of the Suark. Popular edit. 12mo., pp. 308, is. net MILLS & B., Jan. 15",164,172,,London (Jack),The Cruise of the Suark. Popular edit.,12mo.,"pp. 308, is. net",MILLS & B.,Jan. 15,1915,False
"London (Jack)- The Scarlet plague. Cr. 8vo. 68x41, pp. 154, is. net .MILLS & B., Nov. 15",164,172,,London (Jack),The Scarlet plague.,Cr. 8vo.,"68x41, pp. 154, is. net .",MILLS & B.,Nov. 15,1915,False
"London (Jack)--A Son of the sun. Cheap ed. 18mo. pp. 258, 7d. net ...NEWNES, Oct. 15",164,172,,London (Jack),A Son of the sun. Cheap ed.,18mo.,"pp. 258, 7d. net ...",NEWNES,Oct. 15,1915,False
"London (Jack)--Children of the frost. Pop. ed., Cr. 8vo., pp. 290, is. net . . MILLS & B., July 15",164,172,,London (Jack),"Children of the frost. Pop. ed.,",Cr. 8vo.,"pp. 290, is. net . .",MILLS & B.,July 15,1915,False
"London (Jack)--The God of his fathers. Cheap ed. Cr. 8vo. 7X 41, pp. 286, is. net MILLS & B., Oct. 15",164,172,,London (Jack),The God of his fathers. Cheap ed.,Cr. 8vo.,"7X 41, pp. 286, is. net",MILLS & B.,Oct. 15,1915,False
"London (Jack)-An Odyssey of the North. Pop. edit. 12mo., pp. 284, Is. net MILLS & B., May 15",164,172,,London (Jack),An Odyssey of the North. Pop. edit.,12mo.,"pp. 284, Is. net",MILLS & B.,May 15,1915,False
"London (Jack)-Lost Face. Cr. 8vo. 71 x 5, pp. 286, 6s. .MILLS & B., Oct. 15",164,172,,London (Jack),Lost Face.,Cr. 8vo.,"71 x 5, pp. 286, 6s. .",MILLS & B.,Oct. 15,1915,False
"London (Jack)-Martin Eden. Pop. ed. Cr. 8vo., pp. 416, is. net ......HEINEMANN, Apr. 15",164,172,,London (Jack),Martin Eden. Pop. ed.,Cr. 8vo.,"pp. 416, is. net ......",HEINEMANN,Apr. 15,1915,False
"London (Jack)— The Valley of the moon. Pop. ed. Cr. 8vo., pp. 536, is net .MILLS & B., May 15",164,172,,London (Jack),The Valley of the moon. Pop. ed.,Cr. 8vo.,"pp. 536, is net .",MILLS & B.,May 15,1915,False
"London (Jack)—John Barleycorn. Pop. ed. 12mo., pp. 310, IS, net .MILLS & B., Apr. 15",164,172,,London (Jack),John Barleycorn. Pop. ed.,12mo.,"pp. 310, IS, net .",MILLS & B.,Apr. 15,1915,False
"London (Jack)—South Sea tales. Cheap ed. 16mo., pp. 256, 7d. net .. HUTCHINSON, Nov. 15",164,172,,London (Jack),South Sea tales. Cheap ed.,16mo.,"pp. 256, 7d. net ..",HUTCHINSON,Nov. 15,1915,False
"London (Jack)—The Jacket. Cr. 8vo. 7* x 4}, pp. 334, 6s. ...MILLS & B., July 15",164,172,,London (Jack),The Jacket.,Cr. 8vo.,"7* x 4}, pp. 334, 6s. ...",MILLS & B.,July 15,1915,False
