original_entry,page_num,doc_page_num,opening_bits,author(s),title,format,little_bits,publisher,date
"Cambridge University-Preliminary local exami- nation. Class list (girls) for the examination held in Dec. 1913. Demy 8vo., pp. 24, swd., 6d. CAMB. UNIV. PRESS, Jan. 14",50,58,,,Cambridge University-Preliminary local exami- nation. Class list (girls) for the examination held in Dec. 1913.,Demy 8vo.,"pp. 24, swd., 6d.",CAMB. UNIV. PRESS,Jan. 14
"Cambridge University-Statutes of the University of Cambridge, with the interpretations of the Chancellor and sonie Acts of Parliament relating to the University. Demy 8vo., pp. 254, CAMB. UNIV. PRESS, Dec. 14",50,58,,,"Cambridge University-Statutes of the University of Cambridge, with the interpretations of the Chancellor and sonie Acts of Parliament relating to the University.",Demy 8vo.,"pp. 254,",CAMB. UNIV. PRESS,Dec. 14
"Cambridge University-Student's handbook to the University and Colleges of Cambridge. Rev. to 30th June, 1914. Cr. 8vo., pp. 708, CAMB. UNIV. PRESS, Oct. 14",50,58,,,"Cambridge University-Student's handbook to the University and Colleges of Cambridge. Rev. to 30th June, 1914.",Cr. 8vo.,"pp. 708,",CAMB. UNIV. PRESS,Oct. 14
"Cambridge University–Higher local examination : papers, Dec., 1913, with lists of Syndics and exaininers, &c. 8vo, swd. Is. CAMB. UNIV. PRESS, Feb. 14",49,57,,,"Cambridge University–Higher local examination : papers, Dec., 1913, with lists of Syndics and exaininers, &c.","8vo, swd.",Is.,CAMB. UNIV. PRESS,Feb. 14
"Cambridge, &c., Sport at, Desborough (Lord) 420S. net.",ADDED,ADDED,"Cambridge, &c., Sport at,",Desborough (Lord),,,420S. net.,,
"Cambridge, Oxford and, Schools Examination Board Resort, is. net... Cambridge pocket diary (The), 1914-1915. 16mo., pp. 272, ithr. is, net ; 25. net; 2s.6d. net CAMB. UNIV. PRESS, Oct. 14",49,57,"Cambridge, Oxford and, Schools Examination Board Resort, is. net...",,"Cambridge pocket diary (The), 1914-1915.",16mo.,"pp. 272, ithr. is, net ; 25. net; 2s.6d. net",CAMB. UNIV. PRESS,Oct. 14
"Cambridge: Guide pour nos anis Belges, Clarke 'L.) and Eggericx (J.) is. net ",ADDED,ADDED,,Clarke 'L.) and Eggericx (J.),"Cambridge: Guide pour nos anis Belges,",,is. net,,
"Cameron (Allan)-Great men and movements of the Christian church. 8vo. 81x5, pp. 58, 6s. net ..A. GARDNER, May 14",50,58,,Cameron (Allan),Great men and movements of the Christian church.,8vo.,"81x5, pp. 58, 6s. net ..",A. GARDNER,May 14
"Cameron (Margaret)—Tiny town; or, In nature's wonderland. Cr. 8vo., pp. 130, IS. BLACKIE, June 14",50,58,,Cameron (Margaret),"Tiny town; or, In nature's wonderland.",Cr. 8vo.,"pp. 130, IS.",BLACKIE,June 14
"Cameron (Mrs. Lovett)-Bitter fruit. 8vo. swd, 6d. LONG, June 14",50,58,,Cameron (Mrs. Lovett),Bitter fruit.,8vo.,"swd, 6d.",LONG,June 14
"Cameron (Mrs. Lovett)-Midsummer madness. 8vo., swd., 6d..... ..LONG, Mar. 14",50,58,,Cameron (Mrs. Lovett),Midsummer madness.,"8vo.,","swd., 6d..... ..",LONG,Mar. 14
"Cammell (Charles)-Faeryland. 8vo., bds. 35. 60. net A L. HUMPHREYS, May 14",50,58,,Cammell (Charles),Faeryland.,8vo.,bds. 35. 60. net,A L. HUMPHREYS,May 14
"Camorre, stories, Souvestre (E.) 25. Camp (Walter)--Captain Danny. Cr. 8vo., 6s. APPLETON, Dec. 14",50,58,"Camorre, stories, Souvestre (E.) 25. ",Camp (Walter),Captain Danny.,Cr. 8vo.,6s.,APPLETON,Dec. 14
"Camp cookery : a book for boy scouts. By Lincoln Green. Cr. 8vo., swd. 6d. net S. PAUL, Apr. 14",50,58,,,Camp cookery : a book for boy scouts. By Lincoln Green.,"Cr. 8vo.,",swd. 6d. net,S. PAUL,Apr. 14
"Campbell (L.)—Comparison stars for 279 variables. (Harvard Col. Observatory.) Ryl. 4to. 12 X91, pp. 62, swd. 78. 6d. WESLEY, Aug. 14",50,58,,Campbell (L.),Comparison stars for 279 variables. (Harvard Col. Observatory.),Ryl. 4to.,"12 X91, pp. 62, swd. 78. 6d.",WESLEY,Aug. 14
"Campbell (M. G.)-A Text-book of domestic science for high schools. Cr. 8vo. 45. net MACMILLAN, Jan. 14",50,58,,Campbell (M. G.),A Text-book of domestic science for high schools.,Cr. 8vo.,45. net,MACMILLAN,Jan. 14
"Campbell (Oscar James) — The Comedies of Holberg. . 8vo., pp. 374, 1os. 6d. net MILFORD, Mar. 14",50,58,,Campbell (Oscar James),The Comedies of Holberg.,. 8vo.,"pp. 374, 1os. 6d. net",MILFORD,Mar. 14
"Campbell (W. Hume)-Lessons on the Christian's responsibilities and means of grace : for Scholars aged 13-14. Cr. 8vo. 74 X 4*, pp. 126. 6d. net .LONGMANS, July 14",50,58,,Campbell (W. Hume),Lessons on the Christian's responsibilities and means of grace : for Scholars aged 13-14.,Cr. 8vo.,"74 X 4*, pp. 126. 6d. net .",LONGMANS,July 14
"Campbell (Wilfred)-Sagas of vaster Britain, 8vo., 6s. HODDER, July 14",50,58,,Campbell (Wilfred),"Sagas of vaster Britain,",8vo.,6s.,HODDER,July 14
"Campion (Edmund)— Ten Reasons : proposed to his adversaries for disputation in the name of the faith, &c. Cr. 8vo., pp. 152, is. net. (The Catholic library) ..HERDER, Mar. 14",50,58,,Campion (Edmund),"Ten Reasons : proposed to his adversaries for disputation in the name of the faith, &c.",Cr. 8vo.,"pp. 152, is. net. (The Catholic library)",HERDER,Mar. 14
"Can Germany win ? The resources and aspira- tions of its people. By an American. Cr. 8vo., Pp. 160, swd. Is, net... .PEARSON, Nov. 14",50,58,,,Can Germany win ? The resources and aspira- tions of its people. By an American.,Cr. 8vo.,"Pp. 160, swd. Is, net...",PEARSON,Nov. 14
"Canada, Schoolboy in, FitzGerald (C.) 78. 6d. net Canada to-day, 1914. Illus. Folio swd. Is. net CANADA,"" Sep. 14",50,58,,,"Canada, Schoolboy in, FitzGerald (C.) 78. 6d. net Canada to-day, 1914. Illus.",Folio swd.,Is. net,"CANADA,",Sep. 14
"Canal Boats Acts, 1877 and 1884. Extract from the Local Government Board's Report for 1912–13, 2d..... WYMAN, Jan. 14",51,59,,,"Canal Boats Acts, 1877 and 1884. Extract from the Local Government Board's Report for 1912–13, 2d.....",,,WYMAN,Jan. 14
"Candid Quarterly Review (The). No. 1., Vol. 1., Feb. 1914. Conducted by T. Gibson Bowles. Ryl. 8vo., 55. net. .OFFICE, Feb. 14",51,59,,,"Candid Quarterly Review (The). No. 1., Vol. 1., Feb. 1914. Conducted by T. Gibson Bowles.",Ryl. 8vo.,55. net. .,OFFICE,Feb. 14
"Cannan (Gilbert)- Satire. 12mo., pp. 64, is, net (Art and craft of letters)....M. SECKER, May 14",51,59,,Cannan (Gilbert),Satire.,12mo.,"pp. 64, is, net (Art and craft of letters)",M. SECKER,May 14
"Cannan (Gilbert)-Love. Cr. 8vo., pp. 58, 25. net (Fellowship books) BATSFORD, Mar. 14",ADDED,ADDED,,Cannan (Gilbert),Love.,Cr. 8vo.,"pp. 58, 25. net (Fellowship books)",BATSFORD,Mar. 14
"Cannan (Gilbert)-Old Mole : being the surprising adventures in England of Herbert Jocelyn Beenham, M.A., sometime sixth-form master. Ar. 8vo. 71 x 5, pp. 302, 6s... M. SECKER, Jan. 14",51,59,,Cannan (Gilbert),"Old Mole : being the surprising adventures in England of Herbert Jocelyn Beenham, M.A., sometime sixth-form master.",Ar. 8vo.,"71 x 5, pp. 302, 6s...",M. SECKER,Jan. 14
"Cannan (Gilbert)-Old Mole's novel. Rev, and expurgated. 12mo., pp. 64, swd. 6d. net M. SECKER, Feb. 14",51,59,,Cannan (Gilbert),"Old Mole's novel. Rev, and expurgated.",12mo.,"pp. 64, swd. 6d. net",M. SECKER,Feb. 14
"Canning (Hon. A. S. G.)—Thoughts on Christian history. 8vo. 75. 6d. net......UNWIN, Jan, 14",51,59,,Canning (Hon. A. S. G.),Thoughts on Christian history.,8vo.,75. 6d. net......,UNWIN,"Jan, 14"
"Canton (William)—The Bible and the Anglo-Saxon people. Illus. Cr. 8vo. 7*X54, pp. 298, 5s. net DENT, Nov. 14",51,59,,Canton (William),The Bible and the Anglo-Saxon people. Illus.,Cr. 8vo.,"7*X54, pp. 298, 5s. net",DENT,Nov. 14
"Cantor (Charles) - Parsifal : an analysis and some thoughts on the symbolism. Cr. 8vo., pp. 48, swd. is. YEAR BOOK PRESS, Mar. 14",51,59,,Cantor (Charles),Parsifal : an analysis and some thoughts on the symbolism.,Cr. 8vo.,"pp. 48, swd. is.",YEAR BOOK PRESS,Mar. 14
"Cantrill (T. C.)-Coal mining. 12mo., pp. 168 IS. net (Cambridge manuals of science and literature) CAMB. UNIV. PRESS, June 14",51,59,,Cantrill (T. C.),Coal mining.,12mo.,pp. 168 IS. net (Cambridge manuals of science and literature),CAMB. UNIV. PRESS,June 14
"Canuck (Janey)-Seeds of pine. Cr. 8vo. 73 X5, .HODDER & S., Sep. 14",51,59,,Canuck (Janey),Seeds of pine.,Cr. 8vo.,"73 X5, .",HODDER & S.,Sep. 14
"Cape Observatory-Annals. Vol. 11, Part 3: Discussion of a series of meridian observations of circumpolar stars made during 1911, 25. ; Vol. 3, Part 5: Derivation of final inclinations and nodes of the orbital planes of Jupiter's satellites from the Cape Observations of 1891, 1901, 1902, 1903 and 1904, 9d. WYMAN, Oct. 14",51,59,,,"Cape Observatory-Annals. Vol. 11, Part 3: Discussion of a series of meridian observations of circumpolar stars made during 1911, 25. ; Vol. 3, Part 5: Derivation of final inclinations and nodes of the orbital planes of Jupiter's satellites from the Cape Observations of 1891, 1901, 1902, 1903 and 1904, 9d.",,,WYMAN,Oct. 14
"Cape Observatory-Astrographic zones. Vol. I. Zone -41 deg. 15s. ….WYMAN, Aug. 14",51,59,,,Cape Observatory-Astrographic zones. Vol. I. Zone -41 deg.,,15s. ….,WYMAN,Aug. 14
"Capstick (J. W.)—Sound: an elementary text- book for schools and colleges. Cr. 8vo. 71 x 41, CAMB.. UNIV. PRESS, Dec. 13",51,59,,Capstick (J. W.),Sound: an elementary text- book for schools and colleges.,Cr. 8vo.,"71 x 41,",CAMB.. UNIV. PRESS,Dec. 13
"Captain (The). Vol. 30, Oct., 1913, to March, 1914. Ryl. 8vo., 6s. .NEWNES, Mar. 14",51,59,,,"Captain (The). Vol. 30, Oct., 1913, to March, 1914.",Ryl. 8vo.,6s. .,NEWNES,Mar. 14
"Captain (The). Vol. 31, April to Sep., 1914. 4to. 6s. NEWNES, Oct. 14",51,59,,,"Captain (The). Vol. 31, April to Sep., 1914.",4to.,6s.,NEWNES,Oct. 14
"Carew (Raymond)—The Loose-box: a sporting mystery. Cr. 8vo., 7* X5, pp. 320, 6s. EVERETT, Jan. 14",51,59,,Carew (Raymond),The Loose-box: a sporting mystery.,Cr. 8vo.,"7* X5, pp. 320, 6s.",EVERETT,Jan. 14
"Carey (Alfred E.)—Time's Hour glass. Cr. 8vo. 7* X5, pp. 370, 6s. GREENING, Jan 14",51,59,,Carey (Alfred E.),Time's Hour glass.,Cr. 8vo.,"7* X5, pp. 370, 6s.",GREENING,Jan 14
"Carey (Alfred Edward)--The Making of High- roids. Cr. 8vo. 7) X 41. pp. 96, 2s. 6d. net C. LOCKWOOD, June 14",ADDED,ADDED,,Carey (Alfred Edward),The Making of High- roids.,Cr. 8vo.,"7) X 41. pp. 96, 2s. 6d. net",C. LOCKWOOD,June 14
"Carey (Rosa N.)- Aunt Diana. Cheaper edit. Cr. 8vo., pp. 288, is, net ....R.T.S., Aug. 14",52,60,,Carey (Rosa N.),Aunt Diana. Cheaper edit.,Cr. 8vo.,"pp. 288, is, net ....",R.T.S.,Aug. 14
"Carey (Rosa N.)- Little Miss Muffit. Cheaper edit. Cr. 8vo., pp. 288, is. net ...R.T.S., Aug. 14",52,60,,Carey (Rosa N.),Little Miss Muffit. Cheaper edit.,Cr. 8vo.,"pp. 288, is. net ...",R.T.S.,Aug. 14
"Carey (Rosa N.)- Merle's crusade. Cheaper edit. Cr. 8vo., pp. 344, is. net ....R.T.S., Aug. 14",52,60,,Carey (Rosa N.),Merle's crusade. Cheaper edit.,Cr. 8vo.,"pp. 344, is. net ....",R.T.S.,Aug. 14
"Carey (Rosa N.)- Our Bessie. Cheaper edit. Cr. 8vo., pp. 244, Is. net .R.T.S., Aig. 14",52,60,,Carey (Rosa N.),Our Bessie. Cheaper edit.,Cr. 8vo.,"pp. 244, Is. net .",R.T.S.,Aig. 14
"Carey (Rosa N.)-Averil. Cheaper edit. Cr. 8vo., pp. 276, Is. net R. T. S., Aug. 14",52,60,,Carey (Rosa N.),Averil. Cheaper edit.,Cr. 8vo.,"pp. 276, Is. net",R. T. S.,Aug. 14
